Payment_ID,Claim_ID,Payment_Date,Payment_Amount,Adjustment_Reason,Reserve_Amount,Loss_Ratio
1,962,2025-05-22,1241.20,Policy Adjustment,5784.41,.81
2,926,2025-05-11,2351.06,Duplicate,1494.83,.63
3,539,2024-11-06,1034.78,Overpayment,8996.90,1.45
4,285,2025-08-23,3448.52,Duplicate,8388.18,.97
5,477,2025-06-04,1983.52,Duplicate,9274.77,1.16
6,544,2025-01-14,2805.43,None,4261.13,.62
7,574,2025-03-29,.00,Duplicate,9546.82,.92
8,248,2025-01-16,709.23,Duplicate,3118.66,.78
9,135,2025-09-08,3156.83,Policy Adjustment,2158.33,1.10
10,438,2025-06-11,1359.94,Overpayment,1454.66,.70
11,686,2025-05-07,3136.22,None,3691.46,1.27
12,895,2024-10-23,.00,Duplicate,4694.83,.61
13,531,2024-10-25,2472.12,Overpayment,4820.44,.77
14,335,2025-07-04,870.45,None,9163.15,1.28
15,253,2025-05-25,3107.00,None,2910.90,.61
16,139,2025-01-08,1827.81,Policy Adjustment,2587.52,.45
17,445,2025-05-18,710.97,Overpayment,7983.34,1.00
18,15,2025-02-18,2813.42,None,2465.54,.65
19,137,2025-07-02,1088.13,Overpayment,7583.87,1.15
20,712,2025-01-20,1853.90,None,8881.45,1.18
21,894,2024-09-24,3628.15,Duplicate,6062.42,.68
22,591,2025-08-14,1793.87,Duplicate,9416.63,.94
23,948,2025-05-20,2653.18,Duplicate,6556.42,.68
24,506,2025-03-28,3710.58,Overpayment,6186.80,1.27
25,979,2025-08-30,2962.01,Policy Adjustment,4644.23,.91
26,453,2024-09-23,3388.08,Duplicate,4291.77,.96
27,152,2025-04-22,1412.21,Duplicate,9986.84,.47
28,570,2024-11-02,3268.50,None,5101.96,.40
29,997,2025-04-17,3857.88,None,7297.05,.93
30,881,2024-11-30,.00,Policy Adjustment,7240.87,.56
31,904,2024-09-20,466.48,Overpayment,2407.29,.60
32,787,2025-07-09,1466.15,Overpayment,6981.49,.62
33,705,2025-01-02,2933.33,Duplicate,8676.30,.34
34,332,2025-04-20,.00,None,5763.06,.39
35,178,2025-08-09,164.47,Overpayment,2252.55,.74
36,81,2025-08-18,1498.55,Policy Adjustment,5226.29,.73
37,228,2025-08-06,3198.28,Duplicate,7687.16,.71
38,85,2025-01-20,.00,Duplicate,6750.98,.84
39,944,2025-03-29,1072.92,Policy Adjustment,2819.00,.63
40,77,2024-11-17,2787.89,None,1532.65,.52
41,494,2025-02-24,3410.35,Overpayment,6900.40,.51
42,616,2025-04-03,3266.81,None,8432.25,.80
43,166,2024-11-17,3555.25,None,8807.04,.73
44,142,2025-05-28,.00,Duplicate,5287.20,.62
45,210,2025-07-30,969.48,Duplicate,2906.68,1.34
